product_name,product_url,product_rating,product_price,product_revenue
Bó 20 sợi kẽm nhung,https://shopee.vn/B%C3%B3-20-s%E1%BB%A3i-k%E1%BA%BDm-nhung-i.6781822.1773393418?sp_atk=a8323a5f-b4b4-4716-a9a6-d8aefa6e9052&xptdk=a8323a5f-b4b4-4716-a9a6-d8aefa6e9052,4.84,6500,406900000.0
"Set hoa và gấu tặng sinh nhật, lễ tình nhân,quà valentine,quà 8/3,quà 20/10,quà 20/11,quà trung thu,noel,giáng sinh",https://shopee.vn/Set-hoa-v%C3%A0-g%E1%BA%A5u-t%E1%BA%B7ng-sinh-nh%E1%BA%ADt-l%E1%BB%85-t%C3%ACnh-nh%C3%A2n-qu%C3%A0-valentine-qu%C3%A0-8-3-qu%C3%A0-20-10-qu%C3%A0-20-11-qu%C3%A0-trung-thu-noel-gi%C3%A1ng-sinh-i.46727129.21028979029?sp_atk=d7913611-476d-4db9-88b7-7a2294526c43&xptdk=d7913611-476d-4db9-88b7-7a2294526c43,4.875,88000 - 320000,536800000.0 - 1952000000.0
"(Chọn mẫu) Bộ 50 túi nhỏ đựng son, phụ kiện hoạ tiết dễ thương, túi nhỏ đựng quà 9*15cm 15*20cm 20*25cm",https://shopee.vn/(Ch%E1%BB%8Dn-m%E1%BA%ABu)-B%E1%BB%99-50-t%C3%BAi-nh%E1%BB%8F-%C4%91%E1%BB%B1ng-son-ph%E1%BB%A5-ki%E1%BB%87n-ho%E1%BA%A1-ti%E1%BA%BFt-d%E1%BB%85-th%C6%B0%C6%A1ng-t%C3%BAi-nh%E1%BB%8F-%C4%91%E1%BB%B1ng-qu%C3%A0-9*15cm-15*20cm-20*25cm-i.32279499.9499664248?sp_atk=22bbd9f0-d000-4a41-8f3a-901a5487f5de&xptdk=22bbd9f0-d000-4a41-8f3a-901a5487f5de,4.845,14900 - 39900,138570000.0 - 371070000.0
"Voan sóng , voan nhăn Hàn Quốc bó hoa , trang trí hoa tươi, hoa sáp quà tặng cao cấp",https://shopee.vn/Voan-s%C3%B3ng-voan-nh%C4%83n-H%C3%A0n-Qu%E1%BB%91c-b%C3%B3-hoa-trang-tr%C3%AD-hoa-t%C6%B0%C6%A1i-hoa-s%C3%A1p-qu%C3%A0-t%E1%BA%B7ng-cao-c%E1%BA%A5p-i.11821867.13946907134?sp_atk=a5565c45-4a0e-4af6-b249-f2bd42457642&xptdk=a5565c45-4a0e-4af6-b249-f2bd42457642,4.896,39000 - 45000,58500000.0 - 67500000.0
"Túi Đựng Hoa tươi ,Hoa sáp trong suốt",https://shopee.vn/T%C3%BAi-%C4%90%E1%BB%B1ng-Hoa-t%C6%B0%C6%A1i-Hoa-s%C3%A1p-trong-su%E1%BB%91t-i.391084022.18366347084?sp_atk=e5a60935-1bed-491e-9643-0a86c1c20595&xptdk=e5a60935-1bed-491e-9643-0a86c1c20595,4.867,1700 - 2500,258570000.0 - 380250000.0
"Combo Quà Sinh Nhật Tặng Người Yêu Kèm Túi Chườm Giữ Ấm Giảm Đau Bụng Quà Tặng Bạn Gái 8/3, 20/10, Valentine, Giáng Sinh",https://shopee.vn/Combo-Qu%C3%A0-Sinh-Nh%E1%BA%ADt-T%E1%BA%B7ng-Ng%C6%B0%E1%BB%9Di-Y%C3%AAu-K%C3%A8m-T%C3%BAi-Ch%C6%B0%E1%BB%9Dm-Gi%E1%BB%AF-%E1%BA%A4m-Gi%E1%BA%A3m-%C4%90au-B%E1%BB%A5ng-Qu%C3%A0-T%E1%BA%B7ng-B%E1%BA%A1n-G%C3%A1i-8-3-20-10-Valentine-Gi%C3%A1ng-Sinh-i.97472015.21661450412?sp_atk=d5865cf0-0ce0-4e3b-b061-14b858efd462&xptdk=d5865cf0-0ce0-4e3b-b061-14b858efd462,4.895,38000 - 159000,72200000.0 - 302100000.0
"Túi giấy đựng quà tặng, túi giấy Kraft đựng bánh có quai và không quai",https://shopee.vn/T%C3%BAi-gi%E1%BA%A5y-%C4%91%E1%BB%B1ng-qu%C3%A0-t%E1%BA%B7ng-t%C3%BAi-gi%E1%BA%A5y-Kraft-%C4%91%E1%BB%B1ng-b%C3%A1nh-c%C3%B3-quai-v%C3%A0-kh%C3%B4ng-quai-i.11418088.7578650188?sp_atk=1574690f-a5e4-4db2-b67a-63b8f168d8ae&xptdk=1574690f-a5e4-4db2-b67a-63b8f168d8ae,4.895,1600 - 5000,795840000.0 - 2487000000.0
"Rẻ Vô Địch 1 Cuộn Giấy Nhún, giấy nhăn làm hoa, phụ kiện hoa Tại Hà Đông Hà Nội",https://shopee.vn/R%E1%BA%BB-V%C3%B4-%C4%90%E1%BB%8Bch-1-Cu%E1%BB%99n-Gi%E1%BA%A5y-Nh%C3%BAn-gi%E1%BA%A5y-nh%C4%83n-l%C3%A0m-hoa-ph%E1%BB%A5-ki%E1%BB%87n-hoa-T%E1%BA%A1i-H%C3%A0-%C4%90%C3%B4ng-H%C3%A0-N%E1%BB%99i-i.27937344.5712679809?sp_atk=aac7ec69-4720-4d7c-aff9-391bb6369014&xptdk=aac7ec69-4720-4d7c-aff9-391bb6369014,4.837,9000 - 12000,793800000.0 - 1058400000.0
"1kg Túi Bóng Đen Đựng Rác,Túi Nilon Đen Gói Hàng",https://shopee.vn/1kg-T%C3%BAi-B%C3%B3ng-%C4%90en-%C4%90%E1%BB%B1ng-R%C3%A1c-T%C3%BAi-Nilon-%C4%90en-G%C3%B3i-H%C3%A0ng-i.24781091.506455417?sp_atk=e3e50220-356e-41e3-8fb0-5e5372b7e095&xptdk=e3e50220-356e-41e3-8fb0-5e5372b7e095,4.898,22500,769500000.0
"[mua 3 tờ trở lên ] Giấy báo in chữ gói hoa bọc quà giáng sinh giấy kraft vintage Decor,",https://shopee.vn/-mua-3-t%E1%BB%9D-tr%E1%BB%9F-l%C3%AAn-Gi%E1%BA%A5y-b%C3%A1o-in-ch%E1%BB%AF-g%C3%B3i-hoa-b%E1%BB%8Dc-qu%C3%A0-gi%C3%A1ng-sinh-gi%E1%BA%A5y-kraft-vintage-Decor--i.32376937.15853381584?sp_atk=1d4d43fc-01ca-4b7e-b39c-014f5411d3c6&xptdk=1d4d43fc-01ca-4b7e-b39c-014f5411d3c6,4.777,2000 - 8000,16400000.0 - 65600000.0
